isAvaliable,make,manufactureYear,seatNum,seriesNum,model,location,updateTime,maintanceExpreiedDate
False,toyota,2008,3,jtezu11f88k007763,cruiser,new jersey,1/26/2016,10/27/2018
False,ford,2011,1,2fmdk3gc4bbb02217,se,tennessee,4/15/2016,7/4/2022
False,dodge,2018,4,3c4pdcgg5jt346413,mpv,georgia,4/7/2017,11/16/2021
True,ford,2014,1,1ftfw1et4efc23745,door,virginia,5/4/2010,11/5/2022
True,chevrolet,2018,1,3gcpcrec2jg473991,1500,florida,5/13/2017,10/11/2023
False,dodge,2018,4,2c4rdgeg9jr237989,mpv,texas,1/18/2011,12/22/2024
False,chevrolet,2010,1,1gcsksea1az121133,pk,georgia,9/27/2019,1/26/2024
True,gmc,2017,2,1gks2gkc3hr326762,door,california,5/20/2016,1/5/2022
True,chevrolet,2018,2,1g1zd5st5jf191860,malibu,florida,5/27/2014,3/30/2024
False,ford,2017,2,2fmpk3j92hbc12542,mpv,texas,6/26/2010,2/21/2016
True,dodge,2009,4,2b3lj54t49h509675,coupe,georgia,6/12/2014,11/28/2025
True,gmc,2017,2,1gks2bkc6hr136280,mpv,california,8/16/2019,9/22/2024
True,chevrolet,2018,5,3gcukrec0jg176059,1500,tennessee,3/13/2012,10/23/2022
False,chrysler,2017,2,2c4rc1cg5hr616095,wagon,texas,8/13/2015,2/27/2016
True,ford,2013,4,1ftfw1et7dfa47790,door,virginia,2/16/2012,8/1/2022
True,gmc,2017,2,1gks2gkc6hr328389,door,california,11/10/2014,7/7/2015
False,kia,2018,1,3kpfk4a77je198723,forte,north carolina,1/27/2017,10/23/2024
True,buick,2018,3,kl4cj1sb6jb688844,encore,tennessee,7/31/2020,10/4/2020
False,ford,2017,2,2fmpk3j95hbb73607,mpv,texas,12/9/2012,12/3/2024
True,ford,2013,5,1ft8w3dt5deb68569,door,virginia,2/13/2018,3/7/2022
True,gmc,2017,2,1gks2gkcxhr328380,door,california,12/26/2014,12/28/2019
False,kia,2018,5,3kpfl4a79je272611,forte,north carolina,1/25/2017,4/22/2019
True,chevrolet,2015,5,2gnflhe33f6214023,door,ohio,2/2/2010,8/31/2012
False,ford,2017,3,2fmpk3j84hbc09276,mpv,texas,6/24/2010,9/4/2011
True,ford,2013,3,1ftfw1efxdfa01008,door,virginia,9/25/2017,3/31/2020
True,gmc,2017,5,1gks2gkc2hr327918,door,california,4/16/2016,1/14/2019
True,kia,2020,2,5xypg4a59lg616029,sorento,north carolina,7/13/2010,9/14/2019
True,buick,2014,1,1g4ps5sk1e4188639,door,ohio,3/12/2017,7/6/2023
False,ford,2017,2,1fadp5auxhl109013,doors,texas,3/7/2015,7/29/2023
True,ford,2008,2,1fdwf37r28eb95687,chassis,tennessee,5/6/2016,2/2/2023
True,gmc,2017,1,1gks2gkc6hr326335,door,california,1/11/2010,7/28/2015
True,infiniti,2016,3,jn1by1ar7gm271292,q70,new york,1/17/2016,8/2/2023
True,chevrolet,1973,2,1q87t3n166389,camaro,pennsylvania,10/18/2011,9/22/2024
False,ford,2017,4,2fmpk3j9xhbb56401,mpv,texas,7/3/2019,4/2/2022
True,ford,2003,3,1fahp60a63y107799,convertible,virginia,8/27/2010,12/4/2021
True,gmc,2017,1,1gks2gkc2hr328793,door,california,12/7/2019,11/15/2022
True,mercedes-benz,2016,2,8btpe7dd4ge127040,vans,new york,5/6/2020,8/18/2025
True,chevrolet,2018,4,1gcncneh5jz302471,1500,tennessee,6/11/2014,11/30/2014
False,ford,2017,4,2fmpk4k96hbb16692,mpv,texas,7/21/2019,12/21/2020
False,ford,2003,2,1ftnx20p73ed69682,pk,tennessee,3/2/2011,7/22/2025
True,gmc,2017,4,1gks2gkc6hr325461,door,california,3/28/2010,10/22/2019
True,mercedes-benz,2016,1,wd4pe7dd1gp253504,vans,new york,3/11/2017,10/25/2020
True,chevrolet,2018,1,3gcukrec4jg204915,1500,tennessee,9/23/2019,4/12/2024
False,ford,2017,4,2fmpk3j85hbb79415,mpv,texas,6/23/2018,4/19/2020
True,ford,2017,1,1ft7w3bt5hee88155,srw,pennsylvania,6/9/2016,4/14/2017
True,gmc,2017,2,1gks2gkcxhr324555,door,california,3/18/2015,1/14/2017
True,jeep,2019,2,3c4njccb3kt676336,compass,north carolina,1/9/2016,6/19/2020
True,chevrolet,2017,1,1g1zh5sx9hf118136,malibu,tennessee,4/19/2011,5/8/2017
False,dodge,2017,2,3c4pddeg7ht595704,mpv,texas,2/4/2017,10/2/2023
True,ford,2017,1,1ft7w3bt0hef02785,srw,pennsylvania,3/3/2014,11/14/2020
True,gmc,2017,2,1gks2bkc7hr133811,mpv,california,1/30/2013,8/4/2017
True,jeep,2019,4,3c4njccb0kt676343,compass,north carolina,9/22/2012,8/13/2017
True,buick,2017,1,5gakrckdxhj113512,enclave,tennessee,10/31/2015,6/19/2019
False,ford,2017,3,2fmpk4j87hbb21750,mpv,texas,3/17/2012,5/23/2018
True,chrysler,2019,1,2c3ccabgxkh559658,300,south carolina,1/30/2011,8/29/2025
True,gmc,2017,2,1gks2bkc6hr134450,mpv,california,5/2/2010,4/3/2013
True,jeep,2019,2,1c4pjmbx6kd298806,cherokee,north carolina,6/26/2013,8/30/2013
True,buick,2017,5,1g4zp5ss8hu149142,door,florida,10/26/2017,7/14/2022
True,chrysler,2020,3,2c4rc1fg5lr143335,pacifica,ohio,8/28/2017,10/29/2019
True,chrysler,2019,3,2c3ccaeg5kh585628,300,south carolina,1/30/2019,6/16/2019
True,gmc,2017,1,1gks2gkc0hr323625,door,california,6/4/2015,6/4/2015
True,jeep,2019,5,1c4pjmbx2kd360704,cherokee,north carolina,1/25/2017,2/16/2019
True,chevrolet,2017,3,1g1fb1rsxh0185712,door,florida,3/7/2012,2/10/2013
False,ford,2017,5,1fmcu0gd8huc93883,door,texas,3/12/2012,3/16/2017
True,chrysler,2019,5,2c4rc1gg3kr730663,pacifica,south carolina,8/2/2014,1/24/2017
True,gmc,2017,1,1gks2gkc6hr327937,door,california,7/28/2012,5/19/2014
True,jeep,2019,5,1c4pjmbx6kd298174,cherokee,north carolina,9/11/2017,4/5/2022
True,chevrolet,2017,1,1g1fb1rsxh0104806,door,florida,12/17/2016,10/4/2020
False,ford,2017,3,1fmcu0gd7huc86259,door,texas,9/6/2017,8/25/2019
True,chrysler,2019,3,2c3ccakg4kh594972,300,south carolina,3/19/2020,2/6/2022
True,gmc,2017,1,1gks2gkc7hr321306,door,california,7/1/2020,7/6/2021
True,jeep,2019,1,3c4njccb4kt662767,compass,north carolina,7/31/2018,4/2/2023
True,bmw,2017,1,5uxwx7c3xh0u44145,x3,tennessee,7/15/2017,1/17/2024
False,ford,2017,4,1fmcu0gd9huc37922,door,texas,10/21/2013,4/18/2019
True,chrysler,2019,3,2c3ccakg6kh578112,300,south carolina,9/14/2017,2/23/2025
True,gmc,2017,5,1gks2gkcxhr323969,door,california,2/15/2020,1/3/2022
True,jeep,2019,4,3c4njccb7kt660088,compass,north carolina,11/2/2010,6/13/2013
True,buick,2017,2,5gakvckd2hj308564,door,florida,3/27/2013,11/12/2016
False,ford,2017,5,1fmcu0gd5hud08310,door,texas,12/13/2012,12/6/2014
True,chrysler,2019,2,2c3ccaeg0kh555632,300,south carolina,7/29/2010,12/4/2014
True,gmc,2017,2,1gks2gkcxhr328718,door,california,9/22/2018,1/1/2025
True,jeep,2019,5,3c4njddb7kt682015,compass,north carolina,7/22/2015,1/18/2021
True,chevrolet,2017,1,1g1fb3dx5h0143964,camaro,florida,6/3/2015,10/20/2024
False,ford,2017,5,1fmcu0g95huc13712,door,texas,1/27/2016,8/29/2022
True,ford,2016,4,1ftfw1ef1gfb13670,door,pennsylvania,3/21/2020,6/21/2025
True,gmc,2017,5,1gks2gkc5hr326410,door,california,4/8/2011,6/14/2020
True,jeep,2019,5,3c4njddb0kt686052,compass,north carolina,5/21/2010,6/24/2013
True,chevrolet,2017,1,2gnalcek7h1548351,equinox,florida,9/25/2020,10/12/2020
False,ford,2017,5,1fmcu0gd5huc78080,door,texas,1/22/2018,5/15/2019
True,ford,2016,4,1fmcu9gx9gua57286,door,pennsylvania,1/1/2015,8/3/2021
False,ford,2017,1,1ftfw1ef5hkc50264,door,texas,7/29/2016,1/23/2023
False,chrysler,2015,2,1c3cccab7fn613884,door,pennsylvania,4/12/2015,4/17/2025
True,bmw,2017,5,wba4f9c51hg439932,door,michigan,1/10/2016,7/16/2025
False,ford,2017,5,1ftfw1ef4hkc50286,door,texas,1/27/2016,4/12/2016
True,dodge,2015,3,2c3cdzc95fh757310,challenger,pennsylvania,1/29/2016,7/20/2018
True,bmw,2017,3,5ymkt6c37h0x20696,m,michigan,8/19/2012,10/23/2022
True,ford,2017,2,1ft7w2bt7hec41164,door,texas,10/7/2019,7/2/2024
True,ford,2015,4,1ft8w3b61fec52078,door,pennsylvania,12/23/2014,10/16/2018
True,chevrolet,2017,5,1gcgtcen4h1158648,colorado,michigan,5/29/2016,4/16/2022
False,ford,2017,2,1fm5k7b86hga87008,mpv,texas,12/15/2017,10/28/2019
True,ford,2018,1,1fadp3m26jl307477,focus,south carolina,4/2/2016,3/24/2021
True,cadillac,2017,1,1gyknbrsxhz114969,door,michigan,3/8/2012,7/8/2013
True,ford,2017,3,1fm5k8ht0hga07252,mpv,texas,10/13/2011,12/4/2018
True,ford,2018,2,1fadp3j2xjl279400,focus,south carolina,4/9/2010,5/4/2019
True,cadillac,2017,5,1gyknbrs8hz257399,door,michigan,2/8/2012,10/31/2018
False,ford,2017,3,1fm5k7d82hgb39148,mpv,texas,12/25/2013,3/27/2018
False,ford,2018,4,1fadp3k23jl219764,focus,south carolina,10/19/2017,8/22/2023
True,chevrolet,2017,2,1g1zh5sx7hf141060,malibu,michigan,3/15/2013,2/2/2025
False,ford,2017,4,1fm5k7f80hga03159,door,texas,4/24/2020,2/26/2021
True,dodge,2018,5,1c4rdjdg2jc329601,durango,south carolina,3/23/2015,9/12/2018
True,cadillac,2017,5,1gykndrs1hz125239,door,michigan,6/7/2013,9/26/2014
False,ford,2017,5,1fm5k7d84hgc31359,mpv,texas,10/10/2013,10/7/2020
True,ford,2018,1,1fmcu9hd6juc54783,escape,south carolina,3/7/2016,4/18/2020
True,chevrolet,2017,1,3gcuktej3hg475034,1500,michigan,12/27/2014,3/7/2025
False,ford,2017,5,1fm5k7d8xhga68751,mpv,texas,6/18/2012,4/28/2013
True,dodge,2018,5,2c3cdxjg6jh224431,charger,michigan,9/20/2011,1/10/2024
True,chevrolet,2017,1,1gcgtben3h1180134,colorado,michigan,9/5/2010,4/25/2014
False,ford,2017,3,1ftew1ep8hfa10123,door,texas,7/31/2017,1/6/2019
True,chrysler,2017,2,2c4rc1eg2hr669530,pacifica,michigan,9/14/2013,1/24/2014
True,chevrolet,2017,5,1gcgtcen9h1202076,colorado,michigan,3/9/2018,4/4/2018
False,ford,2017,3,1fm5k7d82hgb21314,mpv,texas,4/2/2015,10/13/2025
True,ford,2017,2,1ftew1ep2hkd15978,door,south carolina,5/9/2017,1/22/2019
True,cadillac,2017,1,1gys4ckj7hr359884,door,michigan,4/3/2016,8/12/2023
True,ford,2017,4,1fm5k8f80hgc67231,explorer,south carolina,1/8/2019,7/24/2025
True,chevrolet,2017,2,1gcptce16h1176629,colorado,michigan,10/23/2015,5/23/2019
True,ford,2017,4,1ftew1ef1hke25038,door,texas,8/6/2018,7/11/2025
True,ford,2017,5,1ftfw1eg1hfb38806,f-150,south carolina,10/4/2014,1/21/2024
True,chevrolet,2018,3,1gc4k1ey0jf149152,3500,washington,3/31/2013,10/23/2022
False,ford,2017,1,1fm5k7dh9hgb05630,mpv,texas,5/4/2012,12/8/2018
True,dodge,2017,1,2c4rdgcg3hr864989,caravan,south carolina,5/1/2013,10/11/2020
True,chevrolet,2017,2,3gcukrec3hg429109,1500,michigan,10/29/2010,4/20/2019
False,dodge,2018,2,3c4pdcab8jt166940,mpv,florida,11/24/2013,4/10/2023
True,chevrolet,2017,2,1gnkvgkd0hj145877,door,michigan,11/16/2015,2/17/2022
False,dodge,2018,4,2c4rdgeg8jr337145,mpv,florida,4/12/2013,11/7/2018
True,chrysler,2017,3,2c4rc1gg4hr635019,van,south carolina,2/5/2010,11/18/2023
True,chevrolet,2017,3,1gcukrecxhf153500,1500,michigan,1/20/2016,12/17/2024
False,dodge,2018,2,2c4rdgcg2jr218218,mpv,florida,12/21/2019,7/17/2020
True,chrysler,2017,4,2c3ccabg5hh538726,300,arizona,9/15/2018,6/30/2025
True,chevrolet,2017,2,3gcuksej6hg353147,1500,michigan,3/19/2012,3/4/2018
False,dodge,2016,1,1c3cdffh0gd823262,dart,michigan,8/18/2013,1/24/2019
False,dodge,2018,2,3c4pdcabxjt311007,mpv,florida,1/24/2013,6/2/2021
False,dodge,2008,3,2d8hn44h88r669549,van,utah,3/6/2018,9/19/2018
True,chevrolet,2017,5,1gc1kveg3hf189737,2500,michigan,2/11/2016,2/16/2025
False,dodge,2018,5,2c3cdxct1jh233225,doors,florida,1/10/2017,9/8/2020
False,dodge,2014,3,1c3cdzab0en111068,door,utah,9/13/2012,8/4/2022
True,chevrolet,2017,2,3gcukrec4hg196549,1500,michigan,11/5/2013,8/17/2018
False,dodge,2018,2,2c3cdxhgxjh125388,doors,florida,5/12/2018,8/29/2019
True,cadillac,2015,1,1gys4tkj0fr538846,esv,washington,5/9/2010,2/17/2019
True,dodge,2018,2,1c4sdjct1jc174166,mpv,florida,7/31/2012,6/30/2017
False,ford,2014,2,1fdfe4fs7eda23699,cutaway,pennsylvania,4/10/2017,12/4/2017
True,chevrolet,2016,1,3gcuknec9gg342967,1500,washington,5/3/2013,7/8/2019
False,chrysler,2018,5,2c3ccakg8jh168457,doors,florida,8/20/2013,5/20/2025
True,ford,2016,3,1fm5k8f8xggc51519,door,south carolina,6/11/2010,4/28/2014
